"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2001","Serbie","Nombre",":",""
"2001","Turquie","Nombre","55804",""
"2002","Belgique","Nombre","8605",""
"2002","Bulgarie","Nombre","9607",""
"2002","Tchéquie","Nombre","16597",""
"2002","Danemark","Nombre","3435",""
"2002","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","75025",""
"2002","Estonie","Nombre","4775",""
"2002","Irlande","Nombre","3028",""
"2002","Grèce","Nombre","8284",""
"2002","Espagne","Nombre","51882",""
"2002","France","Nombre","53463",""
"2002","Croatie","Nombre","2641",""
"2002","Italie","Nombre","55670",""
"2002","Chypre","Nombre","351",""
"2002","Lettonie","Nombre","8358",""
"2002","Lituanie","Nombre","11345",""
"2002","Luxembourg","Nombre","391",""
"2002","Hongrie","Nombre","17838",""
"2002","Malte","Nombre","283",""
"2002","Pays-Bas","Nombre","14137",""
"2002","Autriche","Nombre","7511",""
"2002","Pologne","Nombre","80990",""
"2002","Portugal","Nombre","13772",""
"2002","Roumanie","Nombre","48081",""
"2002","Slovénie","Nombre","1120",""
"2002","Slovaquie","Nombre","7849",""
"2002","Finlande","Nombre","3469",""
"2002","Suède","Nombre","6478",""
"2002","England et Wales","Nombre","71218",""
"2002","Scotland","Nombre","6452",""
"2002","Northern Ireland (UK)","Nombre","1029",""
"2002","Islande","Nombre","107",""
"2002","Liechtenstein","Nombre","67",""
"2002","Norvège","Nombre","2832",""
"2002","Suisse","Nombre","4937",""
"2002","Monténégro","Nombre","715",""
"2002","Ancienne République yougoslave de Macédoine","Nombre","1291",""
"2002","Serbie","Nombre","6283",""
"2002","Turquie","Nombre","59512",""
"2003","Belgique","Nombre","9308",""
"2003","Bulgarie","Nombre","10056",""
"2003","Tchéquie","Nombre","17180",""
"2003","Danemark","Nombre","3641",""
"2003","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","79183",""
"2003","Estonie","Nombre","4352",""
"2003","Irlande","Nombre","2986",""
"2003","Grèce","Nombre","8555",""
"2003","Espagne","Nombre","56096",""
"2003","France","Nombre","55407",""
"2003","Croatie","Nombre","2803",""
"2003","Italie","Nombre","54237",""
"2003","Chypre","Nombre","355",""
"2003","Lettonie","Nombre","8222",""
"2003","Lituanie","Nombre","8957",""
"2003","Luxembourg","Nombre","455",""
"2003","Hongrie","Nombre","16507",""
"2003","Malte","Nombre","278",""
"2003","Pays-Bas","Nombre","15189",""
"2003","Autriche","Nombre","7816",""
"2003","Pologne","Nombre","80692",""
"2003","Portugal","Nombre","13635",""
"2003","Roumanie","Nombre","42815",""
"2003","Slovénie","Nombre","1099",""
"2003","Slovaquie","Nombre","8829",""
"2003","Finlande","Nombre","3463",""
"2003","Suède","Nombre","6726",""
"2003","England et Wales","Nombre","73657",""
"2003","Scotland","Nombre","6606",""
"2003","Northern Ireland (UK)","Nombre","1128",""
"2003","Islande","Nombre","112",""
"2003","Liechtenstein","Nombre","67",""
"2003","Norvège","Nombre","2944",""
"2003","Suisse","Nombre","5214",""
"2003","Monténégro","Nombre","744",""
"2003","Ancienne République yougoslave de Macédoine","Nombre","1545",""
"2003","Serbie","Nombre","7128",""
"2003","Turquie","Nombre","63796",""
"2004","Belgique","Nombre","9249",""
"2004","Bulgarie","Nombre","10935",""
"2004","Tchéquie","Nombre","18303",""
"2004","Danemark","Nombre","3767",""
"2004","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","79329",""
"2004","Estonie","Nombre","4575",""
"2004","Irlande","Nombre","3138",""
"2004","Grèce","Nombre","8760",""
"2004","Espagne","Nombre","59375",""
"2004","France","Nombre","59246",""
"2004","Croatie","Nombre","3010",""
"2004","Italie","Nombre","56068",""
"2004","Chypre","Nombre","546",""
"2004","Lettonie","Nombre","7666",""
"2004","Lituanie","Nombre","7838",""
"2004","Luxembourg","Nombre","577",""
"2004","Hongrie","Nombre","16543",""
"2004","Malte","Nombre","298",""
"2004","Pays-Bas","Nombre","17376",""
"2004","Autriche","Nombre","9000",""
"2004","Pologne","Nombre","79344",""
"2004","Portugal","Nombre","12956",""
"2004","Roumanie","Nombre","39031",""
"2004","Slovénie","Nombre","1126",""
"2004","Slovaquie","Nombre","9504",""
"2004","Finlande","Nombre","3535",""
"2004","Suède","Nombre","7291",""
"2004","England et Wales","Nombre","74488",""
"2004","Scotland","Nombre","6776",""
"2004","Northern Ireland (UK)","Nombre","1219",""
"2004","Islande","Nombre","115",""
"2004","Liechtenstein","Nombre","59",""
"2004","Norvège","Nombre","3028",""
"2004","Suisse","Nombre","5977",""
"2004","Monténégro","Nombre","802",""
"2004","Ancienne République yougoslave de Macédoine","Nombre","1791",""
"2004","Serbie","Nombre","7653",""
"2004","Turquie","Nombre","58016",""
"2005","Belgique","Nombre","9330",""
"2005","Bulgarie","Nombre","11399",""
"2005","Tchéquie","Nombre","19003",""
"2005","Danemark","Nombre","4041",""
"2005","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","79519",""
"2005","Estonie","Nombre","4410",""
"2005","Irlande","Nombre","3151",""
"2005","Grèce","Nombre","9871",""
"2005","Espagne","Nombre","61054",""
"2005","France","Nombre","59197",""
"2005","Croatie","Nombre","3485",""
"2005","Italie","Nombre","59523",""
"2005","Chypre","Nombre","536",""
"2005","Lettonie","Nombre","6998",""
"2005","Lituanie","Nombre","7951",""
"2005","Luxembourg","Nombre","735",""
"2005","Hongrie","Nombre","15720",""
"2005","Malte","Nombre","294",""
"2005","Pays-Bas","Nombre","17860",""
"2005","Autriche","Nombre","8955",""
"2005","Pologne","Nombre","82656",""
"2005","Portugal","Nombre","12687",""
"2005","Roumanie","Nombre","36700",""
"2005","Slovénie","Nombre","1132",""
"2005","Slovaquie","Nombre","9289",""
"2005","Finlande","Nombre","3883",""
"2005","Suède","Nombre","7016",""
"2005","England et Wales","Nombre","76190",""
"2005","Scotland","Nombre","6856",""
"2005","Northern Ireland (UK)","Nombre","1325",""
"2005","Islande","Nombre","119",""
"2005","Liechtenstein","Nombre","62",""
"2005","Norvège","Nombre","3124",""
"2005","Suisse","Nombre","6137",""
"2005","Monténégro","Nombre","816",""
"2005","Ancienne République yougoslave de Macédoine","Nombre","2081",""
"2005","Serbie","Nombre","8078",""
"2005","Turquie","Nombre","55966",""
"2006","Belgique","Nombre","9573",""
"2006","Bulgarie","Nombre","11452",""
"2006","Tchéquie","Nombre","18904",""
"2006","Danemark","Nombre","3932",""
"2006","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","77166",""
"2006","Estonie","Nombre","4310",""
"2006","Irlande","Nombre","3191",""
"2006","Grèce","Nombre","10280",""
"2006","Espagne","Nombre","64021",""
"2006","France","Nombre","59522",""
"2006","Croatie","Nombre","3833",""
"2006","Italie","Nombre","39005",""
"2006","Chypre","Nombre","599",""
"2006","Lettonie","Nombre","6636",""
"2006","Lituanie","Nombre","7982",""
"2006","Luxembourg","Nombre","738",""
"2006","Hongrie","Nombre","14740",""
"2006","Malte","Nombre","375",""
"2006","Pays-Bas","Nombre","16536",""
"2006","Autriche","Nombre","8780",""
"2006","Pologne","Nombre","87669",""
"2006","Portugal","Nombre","12446",""
"2006","Roumanie","Nombre","34038",""
"2006","Slovénie","Nombre","1127",""
"2006","Slovaquie","Nombre","8657",""
"2006","Finlande","Nombre","3477",""
"2006","Suède","Nombre","7151",""
"2006","England et Wales","Nombre","77982",""
"2006","Scotland","Nombre","7187",""
"2006","Northern Ireland (UK)","Nombre","1501",""
"2006","Islande","Nombre","119",""
"2006","Liechtenstein","Nombre","48",""
"2006","Norvège","Nombre","3250",""
"2006","Suisse","Nombre","5888",""
"2006","Monténégro","Nombre","852",""
"2006","Ancienne République yougoslave de Macédoine","Nombre","2090",""
"2006","Serbie","Nombre","7862",""
"2006","Turquie","Nombre","70524",""
"2007","Belgique","Nombre","9950",""
"2007","Bulgarie","Nombre","10792",""
"2007","Tchéquie","Nombre","19110",""
"2007","Danemark","Nombre","3646",""
"2007","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","73319",""
"2007","Estonie","Nombre","3466",""
"2007","Irlande","Nombre","3321",""
"2007","Grèce","Nombre","11255",""
"2007","Espagne","Nombre","67100",""
"2007","France","Nombre","60403",""
"2007","Croatie","Nombre","4290",""
"2007","Italie","Nombre","48693",""
"2007","Chypre","Nombre","646",""
"2007","Lettonie","Nombre","6548",""
"2007","Lituanie","Nombre","7770",""
"2007","Luxembourg","Nombre","666",""
"2007","Hongrie","Nombre","14743",""
"2007","Malte","Nombre","382",""
"2007","Pays-Bas","Nombre","15540",""
"2007","Autriche","Nombre","8887",""
"2007","Pologne","Nombre","90199",""
"2007","Portugal","Nombre","11587",""
"2007","Roumanie","Nombre","29390",""
"2007","Slovénie","Nombre","1336",""
"2007","Slovaquie","Nombre","8235",""
"2007","Finlande","Nombre","3370",""
"2007","Suède","Nombre","6740",""
"2007","England et Wales","Nombre","79734",""
"2007","Scotland","Nombre","7376",""
"2007","Northern Ireland (UK)","Nombre","1484",""
"2007","Islande","Nombre","115",""
"2007","Liechtenstein","Nombre","38",""
"2007","Norvège","Nombre","3420",""
"2007","Suisse","Nombre","5715",""
"2007","Monténégro","Nombre","961",""
"2007","Ancienne République yougoslave de Macédoine","Nombre","2050",""
"2007","Serbie","Nombre","8970",""
"2007","Turquie","Nombre","90732",""
