"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2012","Andorre","Total","Total","Nombre","78.115",""
"2012","Biélorussie","Total","Total","Nombre","9.465.150",""
"2012","Bosnie-Herzégovine","Total","Total","Nombre","3.839.265",""
"2012","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","Nombre",":","p"
"2012","Moldavie","Total","Total","Nombre","3.559.541",""
"2012","Monaco","Total","Total","Nombre",":",""
"2012","Russie","Total","Total","Nombre","143.056.383",""
"2012","Saint-Marin","Total","Total","Nombre","33.376",""
"2012","Ukraine","Total","Total","Nombre","45.453.282",""
"2012","Arménie","Total","Total","Nombre","3.274.285",""
"2012","Azerbaïdjan","Total","Total","Nombre","9.235.085",""
"2012","Géorgie","Total","Total","Nombre","4.497.617",""
"2013","Union européenne (composition actuelle)","Total","Total","Nombre","505.161.863",""
"2013","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","500.899.723",""
"2013","Zone euro (19 pays)","Total","Total","Nombre","336.043.821",""
"2013","Zone euro (18 pays)","Total","Total","Nombre","333.071.916",""
"2013","Belgique","Total","Total","Nombre","11.137.974",""
"2013","Bulgarie","Total","Total","Nombre","7.284.552",""
"2013","Tchéquie","Total","Total","Nombre","10.516.125",""
"2013","Danemark","Total","Total","Nombre","5.602.628",""
"2013","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","80.523.746",""
"2013","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","80.523.746",""
"2013","Estonie","Total","Total","Nombre","1.320.174",""
"2013","Irlande","Total","Total","Nombre","4.609.779",""
"2013","Grèce","Total","Total","Nombre","11.003.615",""
"2013","Espagne","Total","Total","Nombre","46.727.890",""
"2013","France","Total","Total","Nombre","65.600.350",""
"2013","France (métropolitaine)","Total","Total","Nombre","63.697.865",""
"2013","Croatie","Total","Total","Nombre","4.262.140",""
"2013","Italie","Total","Total","Nombre","59.685.227",""
"2013","Chypre","Total","Total","Nombre","865.878",""
"2013","Lettonie","Total","Total","Nombre","2.023.825",""
"2013","Lituanie","Total","Total","Nombre","2.971.905",""
"2013","Luxembourg","Total","Total","Nombre","537.039",""
"2013","Hongrie","Total","Total","Nombre","9.908.798",""
"2013","Malte","Total","Total","Nombre","422.509",""
"2013","Pays-Bas","Total","Total","Nombre","16.779.575",""
"2013","Autriche","Total","Total","Nombre","8.451.860",""
"2013","Pologne","Total","Total","Nombre","38.062.535",""
"2013","Portugal","Total","Total","Nombre","10.487.289",""
"2013","Roumanie","Total","Total","Nombre","20.020.074",""
"2013","Slovénie","Total","Total","Nombre","2.058.821",""
"2013","Slovaquie","Total","Total","Nombre","5.410.836",""
"2013","Finlande","Total","Total","Nombre","5.426.674",""
"2013","Suède","Total","Total","Nombre","9.555.893",""
"2013","Royaume-Uni","Total","Total","Nombre","63.905.297",""
"2013","Espace économique européen (EEE) (UE28 - composition actuelle, plus IS, LI, NO)","Total","Total","Nombre","510.571.833",""
"2013","Espace économique européen (EEE) (UE27 - avant l'accession de la Croatie, plus IS, LI, NO)","Total","Total","Nombre","506.309.693",""
"2013","Association Européenne de Libre Echange (AELE)","Total","Total","Nombre","13.449.030",""
"2013","Islande","Total","Total","Nombre","321.857",""
"2013","Liechtenstein","Total","Total","Nombre","36.838",""
"2013","Norvège","Total","Total","Nombre","5.051.275",""
"2013","Suisse","Total","Total","Nombre","8.039.060",""
"2013","Monténégro","Total","Total","Nombre","620.893",""
"2013","Ancienne République yougoslave de Macédoine","Total","Total","Nombre","2.062.294",""
"2013","Albanie","Total","Total","Nombre","2.897.770",""
"2013","Serbie","Total","Total","Nombre","7.181.505",""
"2013","Turquie","Total","Total","Nombre","75.627.384",""
"2013","Andorre","Total","Total","Nombre","76.246",""
"2013","Biélorussie","Total","Total","Nombre","9.463.840",""
"2013","Bosnie-Herzégovine","Total","Total","Nombre",":",""
"2013","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","Nombre",":",""
"2013","Moldavie","Total","Total","Nombre","3.559.497",""
"2013","Monaco","Total","Total","Nombre",":",""
"2013","Russie","Total","Total","Nombre",":",""
"2013","Saint-Marin","Total","Total","Nombre","33.562",""
"2013","Ukraine","Total","Total","Nombre","45.372.692",""
"2013","Arménie","Total","Total","Nombre",":",""
"2013","Azerbaïdjan","Total","Total","Nombre","9.356.483",""
"2013","Géorgie","Total","Total","Nombre",":",""
"2014","Union européenne (composition actuelle)","Total","Total","Nombre","507.011.330","e"
"2014","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","502.764.521","e"
"2014","Zone euro (19 pays)","Total","Total","Nombre","337.540.639",""
"2014","Zone euro (18 pays)","Total","Total","Nombre","334.597.167",""
"2014","Belgique","Total","Total","Nombre","11.180.840",""
"2014","Bulgarie","Total","Total","Nombre","7.245.677",""
"2014","Tchéquie","Total","Total","Nombre","10.512.419",""
"2014","Danemark","Total","Total","Nombre","5.627.235",""
"2014","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","80.767.463",""
"2014","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","80.767.463",""
"2014","Estonie","Total","Total","Nombre","1.315.819",""
"2014","Irlande","Total","Total","Nombre","4.637.852",""
"2014","Grèce","Total","Total","Nombre","10.926.807",""
"2014","Espagne","Total","Total","Nombre","46.512.199",""
"2014","France","Total","Total","Nombre","65.942.267",""
"2014","France (métropolitaine)","Total","Total","Nombre",":",""
"2014","Croatie","Total","Total","Nombre","4.246.809",""
"2014","Italie","Total","Total","Nombre","60.782.668",""
"2014","Chypre","Total","Total","Nombre","858.000",""
"2014","Lettonie","Total","Total","Nombre","2.001.468",""
"2014","Lituanie","Total","Total","Nombre","2.943.472",""
"2014","Luxembourg","Total","Total","Nombre","549.680",""
"2014","Hongrie","Total","Total","Nombre","9.877.365",""
"2014","Malte","Total","Total","Nombre","429.424",""
"2014","Pays-Bas","Total","Total","Nombre","16.829.289",""
"2014","Autriche","Total","Total","Nombre","8.507.786",""
"2014","Pologne","Total","Total","Nombre","38.017.856",""
"2014","Portugal","Total","Total","Nombre","10.427.301",""
"2014","Roumanie","Total","Total","Nombre","19.947.311","e"
"2014","Slovénie","Total","Total","Nombre","2.061.085",""
"2014","Slovaquie","Total","Total","Nombre","5.415.949",""
"2014","Finlande","Total","Total","Nombre","5.451.270",""
"2014","Suède","Total","Total","Nombre","9.644.864",""
"2014","Royaume-Uni","Total","Total","Nombre","64.351.155",""
"2014","Espace économique européen (EEE) (UE28 - composition actuelle, plus IS, LI, NO)","Total","Total","Nombre","512.482.100","e"
"2014","Espace économique européen (EEE) (UE27 - avant l'accession de la Croatie, plus IS, LI, NO)","Total","Total","Nombre","508.235.291","e"
"2014","Association Européenne de Libre Echange (AELE)","Total","Total","Nombre","13.610.401",""
"2014","Islande","Total","Total","Nombre","325.671",""
"2014","Liechtenstein","Total","Total","Nombre","37.129",""
"2014","Norvège","Total","Total","Nombre","5.107.970",""
"2014","Suisse","Total","Total","Nombre","8.139.631",""
"2014","Monténégro","Total","Total","Nombre","621.521",""
"2014","Ancienne République yougoslave de Macédoine","Total","Total","Nombre","2.065.769",""
"2014","Albanie","Total","Total","Nombre","2.892.394",""
"2014","Serbie","Total","Total","Nombre","7.146.759",""
"2014","Turquie","Total","Total","Nombre","76.667.864",""
"2014","Andorre","Total","Total","Nombre",":",""
"2014","Biélorussie","Total","Total","Nombre","9.468.154",""
"2014","Bosnie-Herzégovine","Total","Total","Nombre",":",""
"2014","Kosovo (selon la résolution 1244/99 du Conseil de sécurité des Nations Unies)","Total","Total","Nombre",":",""
"2014","Moldavie","Total","Total","Nombre","3.557.634",""
"2014","Monaco","Total","Total","Nombre",":",""
"2014","Russie","Total","Total","Nombre","143.666.931",""
"2014","Saint-Marin","Total","Total","Nombre",":",""
"2014","Ukraine","Total","Total","Nombre","45.245.894",""
"2014","Arménie","Total","Total","Nombre",":",""
"2014","Azerbaïdjan","Total","Total","Nombre","9.477.119",""
"2014","Géorgie","Total","Total","Nombre","4.490.498",""
"2015","Union européenne (composition actuelle)","Total","Total","Nombre","508.540.103","be"
"2015","Union européenne (avant l'accession de la Croatie)","Total","Total","Nombre","504.314.787","be"
"2015","Zone euro (19 pays)","Total","Total","Nombre","338.560.247","b"
"2015","Zone euro (18 pays)","Total","Total","Nombre","335.638.985","b"
"2015","Belgique","Total","Total","Nombre","11.237.274",""
"2015","Bulgarie","Total","Total","Nombre","7.202.198",""
"2015","Tchéquie","Total","Total","Nombre","10.538.275",""
"2015","Danemark","Total","Total","Nombre","5.659.715",""
"2015","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Total","Total","Nombre","81.197.537",""
"2015","Allemagne incluant l'ancienne RDA","Total","Total","Nombre","81.197.537",""
"2015","Estonie","Total","Total","Nombre","1.314.870","b"
"2015","Irlande","Total","Total","Nombre","4.677.627",""
"2015","Grèce","Total","Total","Nombre","10.858.018",""
"2015","Espagne","Total","Total","Nombre","46.449.565",""
"2015","France","Total","Total","Nombre","66.456.279","b"
"2015","France (métropolitaine)","Total","Total","Nombre",":",""
"2015","Croatie","Total","Total","Nombre","4.225.316",""
"2015","Italie","Total","Total","Nombre","60.795.612",""
"2015","Chypre","Total","Total","Nombre","847.008",""
"2015","Lettonie","Total","Total","Nombre","1.986.096",""
"2015","Lituanie","Total","Total","Nombre","2.921.262",""
"2015","Luxembourg","Total","Total","Nombre","562.958",""
"2015","Hongrie","Total","Total","Nombre","9.855.571",""
"2015","Malte","Total","Total","Nombre","439.691",""
"2015","Pays-Bas","Total","Total","Nombre","16.900.726",""
"2015","Autriche","Total","Total","Nombre","8.584.926",""
"2015","Pologne","Total","Total","Nombre","38.005.614",""
"2015","Portugal","Total","Total","Nombre","10.374.822",""
"2015","Roumanie","Total","Total","Nombre","19.870.647","e"
