"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2002","Ancienne République yougoslave de Macédoine","Nombre","1.291",""
"2002","Serbie","Nombre","6.283",""
"2002","Turquie","Nombre","59.512",""
"2003","Belgique","Nombre","9.308",""
"2003","Bulgarie","Nombre","10.056",""
"2003","Tchéquie","Nombre","17.180",""
"2003","Danemark","Nombre","3.641",""
"2003","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","79.183",""
"2003","Estonie","Nombre","4.352",""
"2003","Irlande","Nombre","2.986",""
"2003","Grèce","Nombre","8.555",""
"2003","Espagne","Nombre","56.096",""
"2003","France","Nombre","55.407",""
"2003","Croatie","Nombre","2.803",""
"2003","Italie","Nombre","54.237",""
"2003","Chypre","Nombre","355",""
"2003","Lettonie","Nombre","8.222",""
"2003","Lituanie","Nombre","8.957",""
"2003","Luxembourg","Nombre","455",""
"2003","Hongrie","Nombre","16.507",""
"2003","Malte","Nombre","278",""
"2003","Pays-Bas","Nombre","15.189",""
"2003","Autriche","Nombre","7.816",""
"2003","Pologne","Nombre","80.692",""
"2003","Portugal","Nombre","13.635",""
"2003","Roumanie","Nombre","42.815",""
"2003","Slovénie","Nombre","1.099",""
"2003","Slovaquie","Nombre","8.829",""
"2003","Finlande","Nombre","3.463",""
"2003","Suède","Nombre","6.726",""
"2003","England et Wales","Nombre","73.657",""
"2003","Scotland","Nombre","6.606",""
"2003","Northern Ireland (UK)","Nombre","1.128",""
"2003","Islande","Nombre","112",""
"2003","Liechtenstein","Nombre","67",""
"2003","Norvège","Nombre","2.944",""
"2003","Suisse","Nombre","5.214",""
"2003","Monténégro","Nombre","744",""
"2003","Ancienne République yougoslave de Macédoine","Nombre","1.545",""
"2003","Serbie","Nombre","7.128",""
"2003","Turquie","Nombre","63.796",""
"2004","Belgique","Nombre","9.249",""
"2004","Bulgarie","Nombre","10.935",""
"2004","Tchéquie","Nombre","18.303",""
"2004","Danemark","Nombre","3.767",""
"2004","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","79.329",""
"2004","Estonie","Nombre","4.575",""
"2004","Irlande","Nombre","3.138",""
"2004","Grèce","Nombre","8.760",""
"2004","Espagne","Nombre","59.375",""
"2004","France","Nombre","59.246",""
"2004","Croatie","Nombre","3.010",""
"2004","Italie","Nombre","56.068",""
"2004","Chypre","Nombre","546",""
"2004","Lettonie","Nombre","7.666",""
"2004","Lituanie","Nombre","7.838",""
"2004","Luxembourg","Nombre","577",""
"2004","Hongrie","Nombre","16.543",""
"2004","Malte","Nombre","298",""
"2004","Pays-Bas","Nombre","17.376",""
"2004","Autriche","Nombre","9.000",""
"2004","Pologne","Nombre","79.344",""
"2004","Portugal","Nombre","12.956",""
"2004","Roumanie","Nombre","39.031",""
"2004","Slovénie","Nombre","1.126",""
"2004","Slovaquie","Nombre","9.504",""
"2004","Finlande","Nombre","3.535",""
"2004","Suède","Nombre","7.291",""
"2004","England et Wales","Nombre","74.488",""
"2004","Scotland","Nombre","6.776",""
"2004","Northern Ireland (UK)","Nombre","1.219",""
"2004","Islande","Nombre","115",""
"2004","Liechtenstein","Nombre","59",""
"2004","Norvège","Nombre","3.028",""
"2004","Suisse","Nombre","5.977",""
"2004","Monténégro","Nombre","802",""
"2004","Ancienne République yougoslave de Macédoine","Nombre","1.791",""
"2004","Serbie","Nombre","7.653",""
"2004","Turquie","Nombre","58.016",""
"2005","Belgique","Nombre","9.330",""
"2005","Bulgarie","Nombre","11.399",""
"2005","Tchéquie","Nombre","19.003",""
"2005","Danemark","Nombre","4.041",""
"2005","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","79.519",""
"2005","Estonie","Nombre","4.410",""
"2005","Irlande","Nombre","3.151",""
"2005","Grèce","Nombre","9.871",""
"2005","Espagne","Nombre","61.054",""
"2005","France","Nombre","59.197",""
"2005","Croatie","Nombre","3.485",""
"2005","Italie","Nombre","59.523",""
"2005","Chypre","Nombre","536",""
"2005","Lettonie","Nombre","6.998",""
"2005","Lituanie","Nombre","7.951",""
"2005","Luxembourg","Nombre","735",""
"2005","Hongrie","Nombre","15.720",""
"2005","Malte","Nombre","294",""
"2005","Pays-Bas","Nombre","17.860",""
"2005","Autriche","Nombre","8.955",""
"2005","Pologne","Nombre","82.656",""
"2005","Portugal","Nombre","12.687",""
"2005","Roumanie","Nombre","36.700",""
"2005","Slovénie","Nombre","1.132",""
"2005","Slovaquie","Nombre","9.289",""
"2005","Finlande","Nombre","3.883",""
"2005","Suède","Nombre","7.016",""
"2005","England et Wales","Nombre","76.190",""
"2005","Scotland","Nombre","6.856",""
"2005","Northern Ireland (UK)","Nombre","1.325",""
"2005","Islande","Nombre","119",""
"2005","Liechtenstein","Nombre","62",""
"2005","Norvège","Nombre","3.124",""
"2005","Suisse","Nombre","6.137",""
"2005","Monténégro","Nombre","816",""
"2005","Ancienne République yougoslave de Macédoine","Nombre","2.081",""
"2005","Serbie","Nombre","8.078",""
"2005","Turquie","Nombre","55.966",""
"2006","Belgique","Nombre","9.573",""
"2006","Bulgarie","Nombre","11.452",""
"2006","Tchéquie","Nombre","18.904",""
"2006","Danemark","Nombre","3.932",""
"2006","Allemagne (jusqu'en 1990, ancien territoire de la RFA)","Nombre","77.166",""
"2006","Estonie","Nombre","4.310",""
"2006","Irlande","Nombre","3.191",""
"2006","Grèce","Nombre","10.280",""
"2006","Espagne","Nombre","64.021",""
"2006","France","Nombre","59.522",""
"2006","Croatie","Nombre","3.833",""
"2006","Italie","Nombre","39.005",""
"2006","Chypre","Nombre","599",""
"2006","Lettonie","Nombre","6.636",""
"2006","Lituanie","Nombre","7.982",""
"2006","Luxembourg","Nombre","738",""
"2006","Hongrie","Nombre","14.740",""
"2006","Malte","Nombre","375",""
"2006","Pays-Bas","Nombre","16.536",""
"2006","Autriche","Nombre","8.780",""
"2006","Pologne","Nombre","87.669",""
"2006","Portugal","Nombre","12.446",""
"2006","Roumanie","Nombre","34.038",""
"2006","Slovénie","Nombre","1.127",""
"2006","Slovaquie","Nombre","8.657",""
"2006","Finlande","Nombre","3.477",""
"2006","Suède","Nombre","7.151",""
"2006","England et Wales","Nombre","77.982",""
"2006","Scotland","Nombre","7.187",""
"2006","Northern Ireland (UK)","Nombre","1.501",""
"2006","Islande","Nombre","119",""
